id,days,mature,views,partner,new_id,lang
73045350,1459,false,9528,false,2299,ENGB
61573865,1629,true,3615,false,153,ENGB
171688860,411,true,46546,false,397,ENGB
117338954,953,true,5863,false,5623,ENGB
135804217,741,true,5594,false,5875,ENGB
50273956,1820,false,4594,false,3346,ENGB
40189534,2070,false,18460,false,6930,ENGB
126853728,846,true,204,false,6367,ENGB
118869338,936,true,1064,false,1434,ENGB
115599547,973,false,313084,false,4470,ENGB
94973589,1198,false,791,false,5122,ENGB
113241013,993,true,364,false,4790,ENGB
119663818,931,true,3994,false,4919,ENGB
81085785,1354,false,3956,false,575,ENGB
55592461,1720,false,2833,false,639,ENGB
64700169,1573,true,16054,false,7012,ENGB
36174401,2219,false,3950,false,6445,ENGB
38079222,2142,true,89458,true,1170,ENGB
13233251,3039,true,115054,false,326,ENGB
59321650,1664,false,657,false,4956,ENGB
63652371,1591,true,29158,false,2639,ENGB
177106387,368,true,25085,false,5028,ENGB
106526921,1069,true,8917,false,6277,ENGB
41418023,2035,true,3011,false,6784,ENGB
154501248,535,true,8482,false,49,ENGB
73421195,1450,false,95722,false,4526,ENGB
55682420,1718,false,3930,false,4108,ENGB
27953914,2441,false,9733,false,1171,ENGB
51992513,1784,false,4828,false,2568,ENGB
96302101,1179,true,10775,false,5731,ENGB
139120746,702,true,21793,false,1760,ENGB
26770546,2495,true,574,false,6707,ENGB
44946167,1938,false,11980,false,2019,ENGB
46597630,1895,true,770,false,634,ENGB
25651842,2492,true,1568,false,4670,ENGB
51730005,1790,true,31841,false,2399,ENGB
60961830,1638,false,261,false,5737,ENGB
70524636,1500,false,18318,false,6974,ENGB
37699144,2158,false,1607,false,6919,ENGB
137265740,725,true,1725,false,240,ENGB
50590583,1814,false,1639,false,5646,ENGB
46373336,1910,true,3315,false,158,ENGB
187385098,289,true,2733,false,3298,ENGB
38904740,2106,false,1294,false,2354,ENGB
141462246,673,false,14678,false,1161,ENGB
45846901,1921,true,488224,true,1869,ENGB
126378005,853,true,8138,false,3499,ENGB
101102471,1138,false,3403,false,5655,ENGB
119664707,924,true,758,false,5295,ENGB
28588067,2385,true,859,false,6468,ENGB
40297287,2063,false,3221,false,3872,ENGB
45396907,1931,false,212170,true,5676,ENGB
153231390,547,false,2264,false,72,ENGB
30934283,2313,false,1224,false,544,ENGB
130705044,804,true,5573,false,4228,ENGB
44193440,1959,true,3420,false,2430,ENGB
76748966,1405,false,106623,false,2677,ENGB
27788634,2447,true,798,false,576,ENGB
30796517,2315,false,8926,false,5986,ENGB
158523868,498,false,759,false,3707,ENGB
55576507,1712,true,2759,false,809,ENGB
46839359,1899,false,1458,false,593,ENGB
198743760,224,true,1178,false,2456,ENGB
113655358,993,false,1572,false,6911,ENGB
38182598,2139,true,10500,false,3362,ENGB
183599062,310,true,1975,false,7101,ENGB
97910651,1168,true,6442,false,7060,ENGB
28230732,2406,false,6599,false,6080,ENGB
159806569,489,true,9063,false,5771,ENGB
130741145,806,false,21768,false,5914,ENGB
74956100,1431,true,16987,false,6794,ENGB
45653700,1892,true,447,false,3361,ENGB
27204176,2469,true,899,false,3260,ENGB
53706043,1754,true,7496,false,936,ENGB
162259716,466,false,4223,false,3837,ENGB
26065098,2439,true,1345,false,2233,ENGB
39528871,2091,false,127832,false,4568,ENGB
30760903,2302,true,494,false,3468,ENGB
41759342,2025,false,22502,false,5540,ENGB
52410632,1751,true,599,false,6304,ENGB
126213661,828,true,449,false,3284,ENGB
986316,3735,false,8278,false,1376,ENGB
52406992,1774,true,56645,false,4702,ENGB
98115351,1160,true,1837,false,6480,ENGB
112671989,1003,true,10975,false,5021,ENGB
46251236,1912,true,40349,false,6756,ENGB
107155092,1057,true,25515,false,2533,ENGB
133461737,768,true,3105,false,6062,ENGB
24606188,2578,false,1509,false,5956,ENGB
55768163,1717,true,311606,true,5768,ENGB
142135109,663,true,9416,false,1636,ENGB
90967590,1246,true,8299,false,1524,ENGB
136137957,737,true,704,false,1385,ENGB
24641838,2591,true,3306,false,119,ENGB
82483683,1338,true,6897,false,3213,ENGB
25389284,2555,true,10240,false,4487,ENGB
30904326,2327,false,17408,false,839,ENGB
41367478,2037,true,22721,false,6165,ENGB
42470081,2007,false,4732,false,1150,ENGB
104269486,1096,true,15826,false,701,ENGB
61149392,1638,false,6493,false,1794,ENGB
142615676,654,true,379,false,3998,ENGB
151661794,564,false,178,false,4923,ENGB
82429193,1339,true,10528,false,542,ENGB
57851805,1688,false,3677,false,7074,ENGB
42526575,2004,true,36040,false,4315,ENGB
48677453,1861,true,110677,false,1481,ENGB
65191114,1562,false,12084,false,5915,ENGB
135579899,744,true,17101,false,948,ENGB
73631643,1436,false,8645,false,799,ENGB
92666584,1226,true,10316,false,6513,ENGB
43664324,1973,true,57649,false,413,ENGB
30941898,2310,true,886,false,3811,ENGB
26869615,2489,false,104481,false,7055,ENGB
53481968,1749,true,1950,false,1923,ENGB
61403410,1634,true,3904,false,5383,ENGB
56480230,1688,true,2054,false,1920,ENGB
182558872,322,false,2157,false,3555,ENGB
42745283,1999,false,4014190,false,6861,ENGB
135795112,739,true,438,false,1893,ENGB
41229739,2040,true,82304,false,5490,ENGB
128508995,823,false,2187,false,3977,ENGB
145755693,612,true,1227,false,2265,ENGB
39601744,2088,true,17570,false,661,ENGB
133638293,752,true,8453,false,4449,ENGB
77164009,1398,false,61009,false,5038,ENGB
170982552,414,false,107,false,6720,ENGB
74424814,1398,true,1079,false,3714,ENGB
48693886,1858,false,1094,false,260,ENGB
91580306,1240,false,1400701,true,4330,ENGB
45900828,1918,false,8041,false,3957,ENGB
158486415,499,true,153891,false,1664,ENGB
40114747,2073,false,3090544,true,3209,ENGB
36107599,2222,true,7036,false,5888,ENGB
59348682,1655,true,880,false,2453,ENGB
52687879,1770,false,11545,false,5720,ENGB
67338349,1539,false,2279,false,38,ENGB
41235194,2023,false,18299,false,5594,ENGB
83814565,1323,true,841,false,4460,ENGB
45346102,1931,true,2477,false,4958,ENGB
201638075,218,true,800,false,77,ENGB
117449214,954,true,13295,false,6752,ENGB
72679038,1371,true,996,false,6945,ENGB
71803291,1449,true,1480,false,3678,ENGB
130549844,807,true,6958,false,875,ENGB
15802512,2929,true,30319,false,3551,ENGB
120596231,918,false,3694,false,4273,ENGB
104167481,1096,false,562,false,6220,ENGB
141684107,669,true,584,false,4999,ENGB
182741349,322,true,1810,false,4537,ENGB
32277575,2275,true,33500,false,465,ENGB
31288652,2304,true,4364,false,4971,ENGB
141441224,610,true,985,false,6276,ENGB
100611944,1143,true,19916,false,2540,ENGB
177460855,365,true,186,false,2412,ENGB
107417318,1054,false,1012,false,1596,ENGB
97239743,1174,false,4462,false,1766,ENGB
21615575,2743,false,676893,true,6077,ENGB
51238570,1706,true,1361,false,2433,ENGB
10849095,3111,false,6075,false,1206,ENGB
148853225,578,true,695,false,1922,ENGB
190364784,269,true,1801,false,2933,ENGB
194016872,244,true,2983,false,6007,ENGB
41313965,2038,true,39809,false,4230,ENGB
40258013,2068,true,4848,false,6556,ENGB
46405794,1878,true,14873,false,2675,ENGB
29758589,2338,false,804,false,2203,ENGB
32092639,2279,true,7125,false,5471,ENGB
37953775,2113,false,1302,false,3593,ENGB
175557019,367,false,555,false,1019,ENGB
1234937,3720,false,13545,false,257,ENGB
58262351,1647,true,2046,false,366,ENGB
23693840,2634,true,1852325,true,1063,ENGB
112031145,1002,true,2165,false,5924,ENGB
100646986,1142,false,11398,false,27,ENGB
24753169,2588,false,9279,false,6240,ENGB
29567435,2379,true,4896,false,7022,ENGB
181993475,324,true,1678,false,0,ENGB
30300163,2328,true,581,false,2603,ENGB
108239771,1048,true,13065,false,2993,ENGB
28078671,2421,false,1199,false,5522,ENGB
42358143,2005,false,1608,false,2309,ENGB
42854226,1974,true,622,false,4815,ENGB
42434667,2000,false,706,false,36,ENGB
66123312,1554,false,3076,false,5984,ENGB
56363475,1707,true,3648,false,1037,ENGB
44669665,1935,false,140,false,2915,ENGB
59116168,1669,true,4888,false,1122,ENGB
43947695,1966,false,104909,true,2435,ENGB
15768465,2930,true,4481,false,2990,ENGB
23993572,2618,true,1815,false,6859,ENGB
31477467,2306,true,11904,false,1590,ENGB
152765403,552,false,41082,false,422,ENGB
38102143,2137,false,2201,false,4000,ENGB
51433205,1795,true,52780,false,1603,ENGB
122270817,703,false,1463,false,5767,ENGB
100092071,1147,true,3461,false,911,ENGB
143007585,634,false,431,false,3316,ENGB
102619452,1116,false,322,false,2747,ENGB
60675562,1644,false,7997,false,2361,ENGB
70703102,1497,true,22413,false,2599,ENGB
40208875,2070,false,4290,false,1048,ENGB
39103201,2104,true,2115,false,4710,ENGB
67892498,1524,false,4380,false,6937,ENGB
127740035,836,false,4073,false,1247,ENGB
82792695,1297,true,165,false,1817,ENGB
61568189,1612,true,26426,false,5815,ENGB
38175148,2122,false,2190,false,172,ENGB
13400396,3029,false,2391,false,6332,ENGB
27901711,2445,true,1680,false,7015,ENGB
215185723,151,true,620,false,6325,ENGB
95010215,1197,true,2171,false,6843,ENGB
31009602,2322,true,12175,false,393,ENGB
122765860,897,true,698,false,222,ENGB
40561648,2052,false,2682,false,4817,ENGB
38298868,2132,true,1622,false,4055,ENGB
50420698,1815,false,1429,false,3026,ENGB
59204658,1668,true,54943,false,3968,ENGB
78390324,1382,false,15573,false,3412,ENGB
30433161,2344,false,662,false,3446,ENGB
40016072,2074,false,4011,false,2693,ENGB
60532427,1647,true,2342,false,4473,ENGB
28902752,2393,true,8989,false,579,ENGB
37470767,2166,false,758,false,225,ENGB
68722489,1523,false,8186,false,3409,ENGB
40035893,2060,true,2388,false,4190,ENGB
28820491,2408,true,3645,false,437,ENGB
82687084,1336,true,40048,false,6479,ENGB
134926652,754,true,73881,false,1846,ENGB
73870042,1445,true,32935,false,6989,ENGB
108574489,1044,true,4798,false,6086,ENGB
24318395,2606,true,44010,false,1900,ENGB
32552267,2238,true,5361,false,5884,ENGB
161183991,477,true,2854,false,6296,ENGB
38993511,2108,false,10697,false,6009,ENGB
75663626,1420,true,9300,false,956,ENGB
97763904,1170,false,4482,false,234,ENGB
64367787,1581,false,313,false,4904,ENGB
